127.0.0.1 - - [05/Oct/2020:10:50:18 +0900] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:50:18 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:50:18 +0900] "GET /WebClient/images/btn.jpg HTTP/1.1" 200 8266
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:50:18 +0900] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:51:26 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:51:47 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:51:48 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:51:48 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:51:48 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:51:48 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:51:49 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:51:49 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:51:49 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:51:51 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:52:00 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:52:08 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:52:13 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:52:13 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:52:14 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:52:14 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:52:15 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:52:15 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:52:15 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:52:15 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:52:17 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:52:19 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:52:26 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:52:27 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:53:29 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:54:26 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:54:31 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:55:09 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:55:09 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:55:09 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:55:10 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:55:10 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:55:10 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:55:11 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:55:47 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:57:00 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:57:01 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:57:01 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:57:01 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:57:39 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:57:39 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:11:15:16 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:11:15:18 +0900] "GET /WebClient/Ex18_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:11:22:54 +0900] "GET /WebClient/Ex19_Css_ResponseWeb.html HTTP/1.1" 200 1716
