0:0:0:0:0:0:0:1 - - [08/Oct/2020:11:35:15 +0900] "GET /WebClient_Javascript/Ex20_DOM_Script.html HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [08/Oct/2020:11:35:26 +0900] "GET /WebClient_Javascript/Ex20_DOM_Script.html HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [08/Oct/2020:11:35:27 +0900] "GET /WebClient_Javascript/Ex20_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:11:35:28 +0900] "GET /WebClient_Javascript/Ex20_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:11:35:43 +0900] "GET /WebClient_Javascript/Ex20_DOM_Script.html HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [08/Oct/2020:11:44:58 +0900] "GET /WebClient_Javascript/Ex21_DOM_script.html HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [08/Oct/2020:11:45:36 +0900] "GET /WebClient_Javascript/Ex21_DOM_script.html HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [08/Oct/2020:11:54:23 +0900] "GET /WebClient_Javascript/Ex22_DOM_Script.html HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [08/Oct/2020:11:54:29 +0900] "GET /WebClient_Javascript/Ex22_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:11:57:29 +0900] "GET /WebClient_Javascript/Ex22_DOM_Script.html HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [08/Oct/2020:11:58:00 +0900] "GET /WebClient_Javascript/Ex22_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:15:21 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:29:39 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:29:40 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:30:09 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:30:26 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:31:39 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:32:02 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:33:14 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:34:08 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:35:02 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:35:32 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:35:48 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:36:19 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:40:03 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:40:25 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:41:10 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:42:41 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:45:31 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:46:14 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1407
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:47:40 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1403
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:48:33 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:51:40 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:52:13 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [08/Oct/2020:12:52:51 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:25:53 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:26:27 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:31:52 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:32:06 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:33:20 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 2606
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:34:16 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:34:40 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:35:07 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 2682
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:35:52 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:36:15 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:37:43 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:39:34 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:40:44 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:43:39 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:44:20 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:57:09 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:57:10 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:57:26 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:57:27 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:57:27 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:57:48 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:59:56 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:14:59:58 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:00:02 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:00:53 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:02:13 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:02:52 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:02:53 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:03:03 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:03:03 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:03:03 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:03:09 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:03:18 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:04:05 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:04:27 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:04:27 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:04:28 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:04:28 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:04:42 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:05:25 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:05:44 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:07:20 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:07:26 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:07:27 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:07:27 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:07:27 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:07:27 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:07:28 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:07:28 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:07:28 +0900] "GET /WebClient_Javascript/Ex24_DOM_Script.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:26:13 +0900] "GET /WebClient_Javascript/Ex23_DOM_Script_Quiz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:28:00 +0900] "GET /WebClient_Javascript/Ex25_DOM_Event.html HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:29:46 +0900] "GET /WebClient_Javascript/Ex25_DOM_Event.html HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:31:34 +0900] "GET /WebClient_Javascript/Ex25_DOM_Event.html HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:31:44 +0900] "GET /WebClient_Javascript/Ex25_DOM_Event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:33:00 +0900] "GET /WebClient_Javascript/Ex25_DOM_Event.html HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:34:03 +0900] "GET /WebClient_Javascript/Ex25_DOM_Event.html HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:42:57 +0900] "GET /WebClient_Javascript/Ex26_DOM_Event.html HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:43:28 +0900] "GET /WebClient_Javascript/Ex26_DOM_Event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:43:39 +0900] "GET /WebClient_Javascript/Ex26_DOM_Event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:43:40 +0900] "GET /WebClient_Javascript/Ex26_DOM_Event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:44:05 +0900] "GET /WebClient_Javascript/Ex26_DOM_Event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2020:15:44:31 +0900] "GET /WebClient_Javascript/Ex26_DOM_Event.html HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [08/Oct/2020:17:34:15 +0900] "GET /WebClient_Javascript/Ex27_DOM_Event.html HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [08/Oct/2020:17:34:56 +0900] "GET /WebClient_Javascript/Ex27_DOM_Event.html HTTP/1.1" 200 718
